Motivo_Limpiado,PQRs
 cliente reclama por las transacciones cargadas en la tc bogbaue********  ********    ******** proceso alta expediente finalizado exitosamente bogbaue********  ********    ********  ,329
 contrato: ******** ajuste: ******** sqlfbcrbot  ********    ********  ,225
 ******** boggutsb    ********    ******** proceso alta expediente finalizado exitosamente boggutsb    ********    ********  ,21
 contrato: ******** ajuste: ******** bogninjf    ********    ********  ,17
 contrato: ******** ajuste: ******** oliverd     ********    ********  ,14
 contrato: ******** ajuste: ******** bogmarw********  ********    ********  ,11
 cliente reclama por las transacciones cargadas en la tc bogbaue********  ********    ********  ,10
 contrato:******** ajuste:******** sqlfbcrbot  ********    ********  ,9
 bogromk********  ********    ********  ,7
 cliente solicita devoluci n de saldo a favor en efectivo tc: ********************** valor: ******** celular: ******** gracias bogbarn********  ********    ********  ,7
